Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH;;
01/05/2004;00.00.00;3,5;1425;275;15,2;1155;185;709;110;1936;1789;17,8;66,8;1,3460;;
01/05/2004;01.00.00;2,4;1179;-200;9,3;951;129;826;84;1724;1323;17,3;68,3;1,3346;;
01/05/2004;02.00.00;1,6;1047;-200;6,5;833;85;939;71;1647;1081;16,5;70,2;1,3099;;
01/05/2004;03.00.00;1,3;1009;-200;6,3;825;-200;950;-200;1629;938;15,7;73,1;1,2902;;
01/05/2004;04.00.00;-200;882;-200;3,5;685;35;1134;42;1492;673;16,2;69,9;1,2756;;
01/05/2004;05.00.00;0,6;858;-200;2,6;624;24;1205;32;1434;543;16,7;67,1;1,2619;;
01/05/2004;06.00.00;0,7;875;-200;3,1;659;30;1180;35;1452;561;16,7;66,9;1,2631;;
01/05/2004;07.00.00;1,2;1012;-200;6,5;833;75;916;67;1632;862;16,9;66,5;1,2688;;
01/05/2004;08.00.00;1,5;1049;-200;6,5;836;79;926;73;1615;901;17,7;62,0;1,2458;;
01/05/2004;09.00.00;1,8;1131;-200;8,8;932;104;854;86;1693;1048;19,4;54,6;1,2184;;
01/05/2004;10.00.00;2,1;1120;-200;8,8;931;118;886;89;1652;971;21,6;46,1;1,1725;;
01/05/2004;11.00.00;1,9;1117;-200;9,2;946;105;909;86;1657;915;24,6;36,7;1,1202;;
01/05/2004;12.00.00;2;1110;-200;9,2;948;101;901;86;1632;891;26,0;31,9;1,0566;;
01/05/2004;13.00.00;1,3;962;-200;6,1;816;65;1044;66;1489;628;25,6;31,5;1,0184;;
01/05/2004;14.00.00;1,3;963;-200;6,5;835;59;1029;68;1495;556;24,8;34,8;1,0716;;
01/05/2004;15.00.00;1,8;1050;-200;9,2;948;80;928;82;1584;652;26,1;30,3;1,0101;;
01/05/2004;16.00.00;2;1053;-200;8,3;911;98;949;91;1603;683;25,5;33,5;1,0767;;
01/05/2004;17.00.00;1,8;1045;-200;8,3;910;89;948;95;1598;624;23,7;37,2;1,0746;;
01/05/2004;18.00.00;2,4;1124;-200;11,0;1013;114;849;104;1676;733;22,3;38,9;1,0324;;
01/05/2004;19.00.00;4;1330;-200;14,7;1140;195;759;131;1780;1062;20,7;42,8;1,0298;;
01/05/2004;20.00.00;2,8;1171;-200;10,8;1006;156;835;112;1674;988;19,0;51,7;1,1222;;
01/05/2004;21.00.00;2;1085;-200;9,4;954;109;866;100;1656;871;17,8;55,5;1,1174;;
01/05/2004;22.00.00;3,6;1358;-200;14,8;1144;184;727;115;1851;1243;17,4;57,6;1,1342;;
01/05/2004;23.00.00;3,7;1385;-200;13,3;1094;190;765;129;1769;1175;17,6;58,5;1,1645;;
02/05/2004;00.00.00;2,3;1167;-200;8,4;914;105;876;99;1599;1126;17,2;59,3;1,1551;;
02/05/2004;01.00.00;1,8;1072;-200;7,9;894;76;893;74;1646;1118;17,1;60,4;1,1633;;
02/05/2004;02.00.00;0,9;938;-200;5,5;789;38;989;55;1536;864;16,4;62,2;1,1507;;
02/05/2004;03.00.00;1,6;1000;-200;6,6;838;-200;910;-200;1580;942;14,8;67,6;1,1352;;
02/05/2004;04.00.00;-200;854;-200;3,3;670;26;1141;35;1460;684;14,8;65,8;1,1028;;
02/05/2004;05.00.00;0,6;815;-200;2,6;628;33;1212;37;1426;689;14,7;65,2;1,0811;;
02/05/2004;06.00.00;0,7;866;-200;3,6;689;57;1138;45;1456;767;13,1;70,2;1,0554;;
02/05/2004;07.00.00;0,8;911;-200;4,8;751;48;1036;46;1518;817;14,3;66,2;1,0728;;
02/05/2004;08.00.00;1,2;988;-200;5,9;806;87;951;68;1568;940;16,0;61,6;1,1083;;
02/05/2004;09.00.00;1,4;1046;-200;6,9;851;94;920;77;1595;908;17,7;56,4;1,1342;;
02/05/2004;10.00.00;1,6;1085;-200;8,5;918;89;890;79;1639;871;21,3;44,7;1,1157;;
02/05/2004;11.00.00;1,3;1008;-200;6,1;816;78;1015;72;1531;689;23,6;36,4;1,0431;;
02/05/2004;12.00.00;1,3;1004;-200;6,2;821;72;1031;68;1510;629;24,3;34,0;1,0149;;
02/05/2004;13.00.00;1,1;948;-200;4,8;754;64;1086;64;1436;602;24,4;32,7;0,9863;;
02/05/2004;14.00.00;1,2;1026;-200;6,8;847;70;1010;73;1519;617;24,6;31,7;0,9647;;
