Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH;;
01/03/2005;00.00.00;0,6;766;-200;1,2;515;86;1327;69;642;322;1,0;37,4;0,2487;;
01/03/2005;01.00.00;0,6;762;-200;0,9;487;71;1364;60;640;307;0,7;41,2;0,2693;;
01/03/2005;02.00.00;0,4;736;-200;0,6;453;39;1498;37;602;268;0,2;40,6;0,2566;;
01/03/2005;03.00.00;0,2;715;-200;0,2;387;-200;1791;-200;559;227;0,1;40,0;0,2499;;
01/03/2005;04.00.00;0,2;716;-200;0,2;390;29;1804;27;551;221;-0,1;37,5;0,2326;;
01/03/2005;05.00.00;0,2;731;-200;0,3;408;32;1727;30;561;225;-0,3;38,4;0,2347;;
01/03/2005;06.00.00;0,2;735;-200;0,3;407;37;1677;33;579;232;-0,6;40,1;0,2404;;
01/03/2005;07.00.00;0,5;779;-200;1,0;500;134;1361;84;652;313;-0,6;41,4;0,2478;;
01/03/2005;08.00.00;1,5;915;-200;5,2;774;358;911;147;839;629;-0,2;40,2;0,2478;;
01/03/2005;09.00.00;1,9;905;-200;6,1;818;354;853;143;840;790;0,6;36,8;0,2388;;
01/03/2005;10.00.00;1,4;835;-200;3,6;688;284;988;122;720;630;2,8;30,3;0,2294;;
01/03/2005;11.00.00;0,9;798;-200;2,3;609;213;1122;109;660;472;3,1;29,1;0,2240;;
01/03/2005;12.00.00;0,7;783;-200;1,9;580;174;1181;95;647;378;3,3;29,2;0,2288;;
01/03/2005;13.00.00;0,8;807;-200;2,6;623;157;1097;94;684;384;3,1;31,0;0,2386;;
01/03/2005;14.00.00;1,0;827;-200;3,1;660;178;1030;102;709;426;3,2;30,8;0,2399;;
01/03/2005;15.00.00;0,9;822;-200;2,7;632;187;1074;107;701;442;3,3;31,5;0,2464;;
01/03/2005;16.00.00;1,0;830;-200;3,0;655;198;1045;113;710;467;4,1;28,6;0,2363;;
01/03/2005;17.00.00;0,9;833;-200;3,0;653;186;1073;110;708;448;3,9;29,2;0,2378;;
01/03/2005;18.00.00;1,4;882;-200;5,0;766;203;922;116;815;582;1,9;35,0;0,2494;;
01/03/2005;19.00.00;2,1;967;-200;7,5;880;313;815;148;887;892;1,8;35,4;0,2497;;
01/03/2005;20.00.00;2,8;1009;-200;9,5;958;342;751;156;935;1006;1,4;36,5;0,2503;;
01/03/2005;21.00.00;2,2;911;-200;5,3;777;310;913;159;796;852;0,8;36,3;0,2388;;
01/03/2005;22.00.00;1,0;808;-200;2,4;613;165;1137;116;672;543;0,6;34,1;0,2210;;
01/03/2005;23.00.00;1,1;812;-200;2,5;621;152;1143;110;669;529;0,3;31,9;0,2031;;
02/03/2005;00.00.00;0,9;790;-200;2,2;597;141;1184;102;637;465;0,2;30,2;0,1910;;
02/03/2005;01.00.00;0,8;765;-200;1,5;544;122;1253;93;601;405;0,0;29,7;0,1847;;
02/03/2005;02.00.00;0,6;761;-200;1,3;525;79;1307;67;605;332;-0,1;31,9;0,1975;;
02/03/2005;03.00.00;0,5;788;-200;0,9;486;-200;1294;-200;650;420;-1,1;41,4;0,2379;;
02/03/2005;04.00.00;-200,0;790;-200;0,7;471;81;1302;75;669;532;-1,4;44,9;0,2536;;
02/03/2005;05.00.00;0,4;804;-200;0,9;489;77;1262;73;698;630;-1,3;46,3;0,2635;;
02/03/2005;06.00.00;0,5;831;-200;1,4;537;124;1158;96;722;768;-1,2;47,2;0,2700;;
02/03/2005;07.00.00;0,7;881;-200;3,5;680;159;1023;110;813;866;-1,3;47,5;0,2702;;
02/03/2005;08.00.00;2,4;1099;-200;11,0;1013;396;690;150;1056;1254;-1,9;51,4;0,2801;;
02/03/2005;09.00.00;2,8;1100;-200;12,4;1065;479;669;169;1072;1347;-0,5;45,9;0,2763;;
