Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH;;
01/07/2004;00.00.00;2,3;1109;-200;12,9;1080;111;696;102;1874;1190;27,1;47,4;1,6701;;
01/07/2004;01.00.00;1,5;1032;-200;9,9;974;66;763;77;1800;982;26,2;49,4;1,6555;;
01/07/2004;02.00.00;0,9;893;-200;5,1;767;36;918;50;1607;805;26,9;49,3;1,7196;;
01/07/2004;03.00.00;0,6;848;-200;2,8;642;-200;1079;-200;1536;654;26,3;50,8;1,7058;;
01/07/2004;04.00.00;0,6;850;-200;3,2;664;31;1038;40;1568;727;24,9;54,6;1,6908;;
01/07/2004;05.00.00;0,8;938;-200;5,4;782;75;879;66;1685;1001;23,4;58,6;1,6651;;
01/07/2004;06.00.00;0,9;948;-200;6,4;828;66;858;60;1711;994;24,4;55,2;1,6604;;
01/07/2004;07.00.00;2,4;1225;-200;17,1;1214;154;625;85;2090;1322;25,1;54,3;1,7057;;
01/07/2004;08.00.00;3,9;1380;-200;22,3;1359;239;538;120;2337;1617;26,6;51,2;1,7565;;
01/07/2004;09.00.00;2,9;1276;-200;14,6;1138;246;628;134;2021;1430;28,2;47,1;1,7752;;
01/07/2004;10.00.00;2,7;1246;-200;13,3;1093;261;667;149;1942;1357;31,6;39,4;1,7969;;
01/07/2004;11.00.00;2;1141;-200;10,5;996;179;767;125;1805;994;34,2;31,8;1,6837;;
01/07/2004;12.00.00;2,4;1199;-200;14,2;1124;159;680;132;1940;1054;36,6;27,1;1,6352;;
01/07/2004;13.00.00;2;1156;-200;12,2;1056;111;710;114;1842;945;37,6;26,9;1,7150;;
01/07/2004;14.00.00;1,8;1158;-200;10,1;983;101;751;110;1803;808;38,1;26,3;1,7213;;
01/07/2004;15.00.00;1,9;1163;-200;11,7;1039;118;723;121;1814;888;37,8;26,9;1,7392;;
01/07/2004;16.00.00;1,8;1078;-200;10,9;1009;120;767;127;1730;787;37,8;22,7;1,4653;;
01/07/2004;17.00.00;2,9;1244;-200;17,3;1219;177;651;157;1949;1077;36,9;24,7;1,5134;;
01/07/2004;18.00.00;3,3;1236;-200;18,0;1239;186;637;169;1986;1106;34,5;28,5;1,5310;;
01/07/2004;19.00.00;4,4;1364;-200;22,9;1376;235;580;179;2168;1356;32,5;30,9;1,4875;;
01/07/2004;20.00.00;3,4;1193;-200;16,5;1196;195;675;149;1888;1152;30,9;30,4;1,3380;;
01/07/2004;21.00.00;1,9;1078;-200;10,2;985;106;778;111;1697;925;28,7;34,7;1,3457;;
01/07/2004;22.00.00;2,1;1140;-200;11,6;1035;107;726;112;1779;1059;27,7;39,3;1,4372;;
01/07/2004;23.00.00;2,5;1239;-200;14,3;1127;134;648;120;1930;1201;26,8;45,1;1,5645;;
02/07/2004;00.00.00;2,3;1171;-200;13,3;1093;117;669;105;1862;1205;26,1;45,3;1,5115;;
02/07/2004;01.00.00;1,7;1065;-200;10,0;977;83;736;90;1733;1103;25,9;46,1;1,5174;;
02/07/2004;02.00.00;1,5;1024;-200;7,6;882;77;791;87;1662;1072;25,3;47,6;1,5130;;
02/07/2004;03.00.00;0,8;873;-200;3,4;679;-200;1010;-200;1501;713;26,6;43,0;1,4773;;
02/07/2004;04.00.00;-200;874;-200;3,3;668;37;1043;54;1513;737;25,3;47,2;1,5025;;
02/07/2004;05.00.00;0,5;887;-200;2,9;647;50;1046;61;1500;740;25,1;48,0;1,5115;;
02/07/2004;06.00.00;0,8;993;-200;5,6;795;60;888;63;1629;770;24,8;50,6;1,5654;;
02/07/2004;07.00.00;2,6;1299;-200;17,5;1225;179;620;102;2077;1327;25,7;49,7;1,6150;;
02/07/2004;08.00.00;4,9;1529;-200;29,0;1526;300;476;149;2559;1763;27,4;45,5;1,6396;;
02/07/2004;09.00.00;2,9;1320;-200;17,0;1210;263;595;147;2052;1477;29,3;40,0;1,6082;;
02/07/2004;10.00.00;2,8;1226;-200;15,6;1168;265;650;158;1952;1311;33,6;28,7;1,4693;;
02/07/2004;11.00.00;1,8;1105;-200;10,1;980;164;777;112;1745;980;34,6;27,7;1,4991;;
02/07/2004;12.00.00;1,8;1160;-200;11,7;1040;122;720;108;1810;961;35,6;27,2;1,5557;;
02/07/2004;13.00.00;1,9;1125;-200;12,0;1051;125;730;120;1771;923;36,9;23,3;1,4313;;
02/07/2004;14.00.00;1,7;1099;-200;11,0;1015;125;763;117;1732;839;38,8;20,7;1,4036;;
02/07/2004;15.00.00;1,7;1124;-200;11,2;1021;115;745;119;1735;827;38,1;22,6;1,4868;;
02/07/2004;16.00.00;1,9;1105;-200;10,5;995;162;778;149;1681;821;37,1;23,0;1,4229;;
02/07/2004;17.00.00;2,1;1035;-200;11,8;1043;149;804;174;1647;749;34,8;19,3;1,0543;;
02/07/2004;18.00.00;2,4;1065;-200;13,8;1110;161;757;163;1691;871;33,6;20,7;1,0590;;
02/07/2004;19.00.00;3;1051;-200;17,3;1220;201;739;161;1729;1077;31,4;18,5;0,8376;;
02/07/2004;20.00.00;2,8;1073;-200;14,2;1124;209;752;154;1688;1175;29,5;23,8;0,9623;;
02/07/2004;21.00.00;1,9;1008;-200;10,7;1004;133;817;124;1588;1125;27,4;27,1;0,9736;;
02/07/2004;22.00.00;2,1;1090;-200;12,7;1073;133;745;122;1693;1124;26,1;31,1;1,0338;;
02/07/2004;23.00.00;1,8;1048;-200;10,1;983;134;780;119;1643;1064;25,5;34,0;1,0935;;
03/07/2004;00.00.00;2,5;1131;-200;13,1;1087;164;705;131;1738;1240;24,0;37,8;1,1125;;
03/07/2004;01.00.00;1,1;953;-200;7,4;874;72;854;84;1528;899;24,2;37,3;1,1118;;
03/07/2004;02.00.00;0,7;897;-200;4,6;745;50;968;77;1461;807;23,4;40,6;1,1571;;
03/07/2004;03.00.00;0,7;900;-200;4,7;750;-200;932;-200;1494;817;21,8;46,6;1,1991;;
03/07/2004;04.00.00;0,4;828;-200;2,8;639;27;1077;41;1371;573;22,6;43,0;1,1629;;
03/07/2004;05.00.00;0,7;892;-200;4,5;739;74;964;68;1479;768;20,2;50,7;1,1844;;
03/07/2004;06.00.00;0,7;914;-200;5,9;809;69;912;69;1530;807;20,5;49,3;1,1760;;
