Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH;;
01/08/2004;00.00.00;2;1104;-200;11,2;1020;106;681;82;1771;1086;26,6;47,5;1,6265;;
01/08/2004;01.00.00;1,8;1065;-200;9,8;970;77;698;70;1724;1049;25,7;50,7;1,6491;;
01/08/2004;02.00.00;0,9;971;-200;6,2;821;28;820;40;1637;811;25,1;53,9;1,6890;;
01/08/2004;03.00.00;0,5;891;-200;3,6;691;-200;941;-200;1553;629;24,8;58,7;1,8089;;
01/08/2004;04.00.00;0,6;936;-200;4,0;713;21;883;26;1584;723;23,5;63,6;1,8223;;
01/08/2004;05.00.00;0,4;845;-200;2,6;625;17;993;21;1513;646;24,3;59,4;1,7838;;
01/08/2004;06.00.00;0,4;872;-200;2,6;627;24;997;30;1530;670;23,3;62,0;1,7547;;
01/08/2004;07.00.00;0,4;903;-200;2,9;648;19;975;21;1559;603;24,1;63,1;1,8619;;
01/08/2004;08.00.00;0,8;971;-200;4,2;722;39;876;35;1624;687;25,0;60,7;1,8920;;
01/08/2004;09.00.00;0,8;1006;-200;5,5;789;46;824;36;1657;733;27,3;52,4;1,8707;;
01/08/2004;10.00.00;0,9;1012;-200;5,8;804;53;832;48;1638;766;32,4;37,3;1,7808;;
01/08/2004;11.00.00;0,7;975;-200;4,5;737;32;896;39;1531;621;35,4;31,3;1,7736;;
01/08/2004;12.00.00;0,6;944;-200;4,3;730;30;933;34;1495;560;37,4;28,2;1,7808;;
01/08/2004;13.00.00;0,5;857;-200;3,5;685;24;1055;33;1331;451;39,2;20,2;1,4104;;
01/08/2004;14.00.00;0,6;824;-200;3,5;683;34;1119;42;1270;393;38,1;18,5;1,2141;;
01/08/2004;15.00.00;0,7;868;-200;3,9;707;63;1063;85;1325;417;40,2;17,7;1,2989;;
01/08/2004;16.00.00;0,9;908;-200;4,7;748;69;1020;92;1373;451;39,7;19,1;1,3646;;
01/08/2004;17.00.00;0,9;912;-200;5,3;776;61;991;84;1379;461;38,5;19,8;1,3260;;
01/08/2004;18.00.00;1,2;986;-200;6,4;830;73;906;100;1482;536;36,6;24,6;1,4872;;
01/08/2004;19.00.00;1,4;1037;-200;8,0;900;75;817;95;1584;619;33,1;32,7;1,6200;;
01/08/2004;20.00.00;1,5;1088;-200;9,2;948;69;743;77;1667;766;30,7;38,7;1,6780;;
01/08/2004;21.00.00;1,7;1093;-200;9,1;944;71;711;85;1655;785;29,5;42,7;1,7316;;
01/08/2004;22.00.00;1,7;1142;-200;9,1;945;73;682;83;1736;793;27,8;52,6;1,9398;;
01/08/2004;23.00.00;1,7;1170;-200;9,5;959;86;666;88;1798;838;27,4;55,5;1,9998;;
02/08/2004;00.00.00;1,9;1142;-200;9,1;945;65;672;68;1775;799;27,3;57,1;2,0426;;
02/08/2004;01.00.00;1,2;986;-200;5,0;762;74;821;97;1573;553;26,7;60,1;2,0670;;
02/08/2004;02.00.00;0,7;942;-200;3,7;696;45;916;51;1542;465;26,2;61,6;2,0575;;
02/08/2004;03.00.00;0,3;882;-200;2,2;595;-200;1097;-200;1463;406;25,5;62,8;2,0236;;
02/08/2004;04.00.00;0,2;854;-200;1,6;553;2;1203;5;1418;396;25,5;61,8;1,9831;;
02/08/2004;05.00.00;0,4;910;-200;2,7;630;29;1061;35;1504;468;25,1;62,4;1,9602;;
02/08/2004;06.00.00;0,8;1005;-200;5,6;791;42;829;56;1650;638;24,6;62,7;1,9158;;
02/08/2004;07.00.00;1,9;1193;-200;13,0;1085;146;610;110;1947;1097;25,7;58,9;1,9156;;
02/08/2004;08.00.00;-200;1297;-200;17,8;1233;-200;544;-200;2129;1248;27,1;54,4;1,9206;;
02/08/2004;09.00.00;1,9;1180;-200;11,5;1031;163;633;124;1866;1067;28,4;50,7;1,9329;;
02/08/2004;10.00.00;1,9;1134;-200;11,1;1017;144;689;115;1774;964;32,7;36,9;1,7953;;
02/08/2004;11.00.00;1,9;1113;-200;11,0;1013;125;702;119;1781;903;34,0;32,7;1,7146;;
02/08/2004;12.00.00;1,7;1084;-200;10,7;1004;90;706;107;1761;839;35,6;29,2;1,6684;;
02/08/2004;13.00.00;1,4;1009;-200;8,5;921;76;778;99;1635;692;37,1;25,6;1,5868;;
02/08/2004;14.00.00;1,2;1002;-200;8,7;928;73;798;95;1636;629;36,1;26,4;1,5505;;
02/08/2004;15.00.00;1,4;1007;-200;9,4;956;73;763;105;1654;666;37,9;23,8;1,5392;;
02/08/2004;16.00.00;1,4;996;-200;9,5;959;80;779;117;1636;684;38,0;22,2;1,4483;;
02/08/2004;17.00.00;1,9;1050;-200;12,9;1082;121;705;157;1731;816;36,9;22,7;1,3887;;
02/08/2004;18.00.00;2,2;1100;-200;13,7;1107;129;676;173;1801;876;35,5;25,7;1,4626;;
02/08/2004;19.00.00;1,9;1085;-200;12,2;1057;103;689;139;1775;836;32,8;32,2;1,5779;;
02/08/2004;20.00.00;1,7;1079;-200;11,8;1042;87;697;116;1773;846;30,5;38,2;1,6376;;
02/08/2004;21.00.00;1,2;1086;-200;9,9;974;58;707;91;1733;795;28,8;43,5;1,6989;;
02/08/2004;22.00.00;0,3;1092;-200;10,7;1005;64;669;98;1746;836;28,0;46,2;1,7210;;
02/08/2004;23.00.00;0,1;1097;-200;9,4;956;58;708;93;1724;818;27,1;49,4;1,7398;;
03/08/2004;00.00.00;0,1;1075;-200;8,1;904;44;720;74;1692;777;26,4;52,2;1,7708;;
03/08/2004;01.00.00;-200;1008;-200;6,6;838;28;774;50;1640;733;26,2;52,3;1,7561;;
03/08/2004;02.00.00;-200;895;-200;3,3;672;19;941;36;1469;703;27,1;47,4;1,6809;;
03/08/2004;03.00.00;-200;838;-200;1,7;559;-200;1186;-200;1428;559;28,0;45,2;1,6832;;
03/08/2004;04.00.00;-200;866;-200;2,3;603;48;1077;55;1459;589;25,8;50,9;1,6605;;
03/08/2004;05.00.00;-200;872;-200;2,5;617;77;1026;86;1456;585;27,2;47,2;1,6803;;
03/08/2004;06.00.00;-200;922;-200;3,2;664;110;973;137;1503;644;27,0;48,3;1,6946;;
03/08/2004;07.00.00;-200;1362;-200;19,3;1277;282;529;140;2188;1392;25,9;51,5;1,7000;;
03/08/2004;08.00.00;-200;1349;-200;21,3;1333;275;487;142;2256;1533;27,4;48,6;1,7447;;
03/08/2004;09.00.00;-200;1298;-200;17,2;1215;253;539;185;2068;1404;29,1;45,5;1,7998;;
03/08/2004;10.00.00;-200;1234;-200;15,2;1154;211;596;173;1965;1204;32,8;36,9;1,8030;;
03/08/2004;11.00.00;-200;1147;-200;10,6;999;176;697;158;1788;915;34,7;32,1;1,7410;;
03/08/2004;12.00.00;-200;1173;-200;12,3;1061;153;650;127;1858;940;33,7;35,1;1,8022;;
03/08/2004;13.00.00;-200;1118;-200;10,5;995;144;689;111;1779;863;35,1;32,4;1,7996;;
03/08/2004;14.00.00;-200;1078;-200;9,3;951;127;722;114;1718;747;35,4;30,9;1,7505;;
03/08/2004;15.00.00;-200;1076;-200;9,3;951;112;730;109;1675;704;36,5;28,7;1,7256;;
03/08/2004;16.00.00;-200;1103;-200;11,0;1014;-200;684;-200;1749;791;38,0;24,7;1,6073;;
03/08/2004;17.00.00;-200;1117;-200;12,1;1052;148;671;137;1780;824;37,5;24,4;1,5515;;
03/08/2004;18.00.00;-200;1166;-200;13,7;1108;140;622;134;1854;913;35,5;28,9;1,6468;;
03/08/2004;19.00.00;-200;1157;-200;12,9;1082;125;631;114;1854;907;31,9;37,5;1,7442;;
03/08/2004;20.00.00;-200;1136;-200;10,3;990;111;672;100;1807;918;30,1;45,0;1,8891;;
03/08/2004;21.00.00;-200;1122;-200;9,5;959;102;685;92;1798;914;28,8;48,9;1,9105;;
03/08/2004;22.00.00;-200;1121;-200;10,3;989;108;659;97;1821;955;28,8;48,8;1,9039;;
03/08/2004;23.00.00;-200;1150;-200;11,2;1020;132;645;111;1835;1063;28,0;49,0;1,8237;;
04/08/2004;00.00.00;-200;1074;-200;9,2;949;104;678;89;1751;982;27,5;51,5;1,8664;;
