Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH;;
01/11/2004;00.00.00;3,2;1353;-200;15,9;1176;318;584;69;1723;2150;20,1;71,3;1,6564;;
01/11/2004;01.00.00;3,7;1407;-200;17,8;1235;338;548;77;1780;2519;20,1;71,1;1,6498;;
01/11/2004;02.00.00;3,5;1333;-200;16,7;1201;353;552;68;1767;1925;19,6;73,2;1,6543;;
01/11/2004;03.00.00;3;1269;-200;16,0;1181;-200;559;-200;1756;1762;19,1;75,8;1,6568;;
01/11/2004;04.00.00;-200;1253;-200;16,9;1206;291;540;52;1779;1579;18,4;77,9;1,6389;;
01/11/2004;05.00.00;2,7;1212;-200;15,0;1149;279;562;49;1710;1599;18,4;78,1;1,6370;;
01/11/2004;06.00.00;1,8;1061;-200;9,6;962;200;679;45;1554;1395;19,2;74,7;1,6398;;
01/11/2004;07.00.00;1,3;1028;-200;7,8;890;180;733;51;1525;1323;19,4;75,1;1,6766;;
01/11/2004;08.00.00;1,5;1067;-200;8,7;928;213;711;51;1564;1309;19,1;75,6;1,6519;;
01/11/2004;09.00.00;1,9;1111;-200;9,8;970;266;667;62;1594;1441;20,3;71,1;1,6803;;
01/11/2004;10.00.00;2,2;1189;-200;12,4;1065;247;609;74;1683;1830;23,1;61,3;1,7131;;
01/11/2004;11.00.00;2,6;1293;-200;13,9;1114;326;584;88;1702;1704;25,1;56,0;1,7565;;
01/11/2004;12.00.00;2,7;1285;-200;12,5;1065;319;597;90;1686;1576;25,8;56,1;1,8410;;
01/11/2004;13.00.00;2,5;1236;-200;10,9;1011;320;631;91;1706;1305;23,7;68,2;1,9739;;
01/11/2004;14.00.00;1,5;1082;-200;6,5;834;174;747;64;1562;991;23,1;70,8;1,9800;;
01/11/2004;15.00.00;2;1188;-200;9,4;954;216;664;72;1636;1148;23,9;66,3;1,9361;;
01/11/2004;16.00.00;3,1;1348;-200;15,3;1157;376;564;88;1810;1307;23,8;65,0;1,8897;;
01/11/2004;17.00.00;3,7;1394;-200;16,4;1193;496;547;110;1811;1386;23,2;65,6;1,8435;;
01/11/2004;18.00.00;4;1472;-200;19,8;1290;523;510;95;1942;1420;21,8;72,7;1,8789;;
01/11/2004;19.00.00;4,1;1291;-200;15,8;1174;465;567;91;1746;1341;21,7;67,3;1,7256;;
01/11/2004;20.00.00;3,1;1264;-200;14,5;1133;407;593;94;1750;1258;21,3;66,3;1,6594;;
01/11/2004;21.00.00;3,2;1264;-200;14,7;1138;412;579;86;1733;1245;20,4;71,6;1,7004;;
01/11/2004;22.00.00;3,2;1260;-200;15,3;1160;403;568;79;1755;1231;19,6;75,3;1,6981;;
01/11/2004;23.00.00;2,7;1184;-200;13,0;1084;357;612;71;1674;1151;19,3;75,8;1,6762;;
02/11/2004;00.00.00;2,3;1122;-200;10,5;996;259;660;62;1586;1048;18,4;76,3;1,6017;;
02/11/2004;01.00.00;1,6;983;-200;7,6;881;227;752;56;1472;928;18,2;76,4;1,5787;;
02/11/2004;02.00.00;1,1;885;-200;4,8;753;147;878;49;1374;813;17,9;74,8;1,5219;;
02/11/2004;03.00.00;0,7;825;-200;3,1;661;-200;987;-200;1334;753;17,5;74,5;1,4781;;
02/11/2004;04.00.00;-200;791;-200;2,6;627;72;1069;38;1306;709;17,2;74,0;1,4388;;
02/11/2004;05.00.00;0,6;802;-200;2,7;636;96;1016;35;1289;721;17,6;73,2;1,4555;;
02/11/2004;06.00.00;0,5;804;-200;3,0;652;73;1054;37;1294;710;17,9;69,3;1,4099;;
02/11/2004;07.00.00;1,5;1014;-200;8,7;927;309;747;56;1497;951;16,1;76,3;1,3902;;
02/11/2004;08.00.00;3,4;1316;-200;20,7;1317;607;538;85;1860;1336;17,1;72,8;1,4054;;
02/11/2004;09.00.00;4,4;1296;-200;25,2;1435;562;504;112;1899;1489;20,8;57,9;1,4070;;
02/11/2004;10.00.00;4,4;1381;-200;23,6;1394;560;495;107;1911;1558;20,6;60,2;1,4428;;
02/11/2004;11.00.00;5,8;1570;-200;32,9;1617;844;426;151;2170;1944;22,1;56,6;1,4851;;
02/11/2004;12.00.00;4,9;1426;-200;25,6;1445;667;477;151;1970;1782;24,0;50,0;1,4679;;
02/11/2004;13.00.00;5,1;1535;-200;31,2;1578;583;440;150;2125;1921;25,7;45,6;1,4870;;
02/11/2004;14.00.00;7,5;1678;-200;37,9;1727;726;390;190;2318;2039;25,5;49,7;1,5985;;
02/11/2004;15.00.00;5,8;1605;-200;32,3;1603;674;415;168;2199;1912;25,2;50,6;1,5989;;
02/11/2004;16.00.00;5,9;1559;-200;31,5;1586;544;421;127;2197;1827;25,4;50,7;1,6187;;
02/11/2004;17.00.00;6,8;1713;-200;38,0;1728;715;390;140;2386;1919;24,4;56,0;1,6885;;
02/11/2004;18.00.00;7,9;1751;-200;44,1;1853;789;358;158;2496;2013;23,0;62,1;1,7283;;
02/11/2004;19.00.00;8;1723;-200;44,9;1869;737;359;121;2563;1919;21,8;65,3;1,6889;;
02/11/2004;20.00.00;9,2;1778;-200;48,2;1935;859;349;119;2643;1927;20,9;67,5;1,6539;;
02/11/2004;21.00.00;5,9;1461;-200;29,1;1529;668;450;96;2111;1573;20,2;68,6;1,6034;;
02/11/2004;22.00.00;3,7;1258;-200;19,1;1272;454;541;77;1804;1325;19,3;70,8;1,5728;;
02/11/2004;23.00.00;2,6;1138;-200;13,9;1113;337;610;66;1641;1203;19,2;68,8;1,5097;;
03/11/2004;00.00.00;1,1;936;-200;6,8;849;127;798;56;1381;947;20,4;61,1;1,4495;;
03/11/2004;01.00.00;2,6;1167;-200;13,2;1090;281;626;62;1620;1106;18,0;71,5;1,4615;;
03/11/2004;02.00.00;2,2;1071;-200;10,7;1003;252;665;58;1542;1045;17,5;73,2;1,4515;;
03/11/2004;03.00.00;0,9;866;-200;4,1;717;-200;909;-200;1328;827;17,2;71,7;1,3940;;
03/11/2004;04.00.00;-200;836;-200;2,9;647;65;985;37;1271;777;16,4;74,4;1,3779;;
03/11/2004;05.00.00;0,5;823;-200;2,7;630;69;1033;35;1253;748;16,8;71,9;1,3628;;
03/11/2004;06.00.00;0,7;890;-200;4,3;727;151;917;50;1290;833;16,9;70,5;1,3504;;
03/11/2004;07.00.00;1,3;1019;-200;8,0;901;231;750;64;1438;960;17,0;70,1;1,3512;;
03/11/2004;08.00.00;2,2;1177;-200;15,5;1166;297;621;75;1667;1157;18,8;62,5;1,3401;;
03/11/2004;09.00.00;3,7;1348;-200;23,8;1398;515;505;101;1847;1444;20,3;58,4;1,3745;;
03/11/2004;10.00.00;3,7;1341;-200;21,0;1323;499;516;94;1786;1522;23,7;49,1;1,4230;;
03/11/2004;11.00.00;3,4;1307;-200;19,3;1278;445;527;95;1767;1452;26,6;42,8;1,4713;;
03/11/2004;12.00.00;3,4;1305;-200;19,7;1287;464;525;124;1771;1437;26,2;43,5;1,4591;;
03/11/2004;13.00.00;2,6;1177;-200;13,2;1090;298;612;86;1632;1209;26,3;43,6;1,4663;;
03/11/2004;14.00.00;2,5;1192;-200;13,0;1085;266;617;79;1638;1170;26,6;42,5;1,4568;;
03/11/2004;15.00.00;2,5;1214;-200;12,9;1080;323;611;87;1642;1190;26,3;43,7;1,4718;;
03/11/2004;16.00.00;2,7;1240;-200;15,1;1152;352;575;94;1699;1278;25,6;46,2;1,4903;;
03/11/2004;17.00.00;3,2;1271;-200;16,3;1188;372;563;107;1703;1305;25,1;47,6;1,4983;;
03/11/2004;18.00.00;3,7;1333;-200;20,5;1312;383;520;107;1853;1364;23,8;51,4;1,4956;;
03/11/2004;19.00.00;4,6;1390;-200;24,4;1414;455;487;117;1959;1428;23,3;53,1;1,4960;;
03/11/2004;20.00.00;3,3;1266;-200;18,7;1261;355;541;97;1807;1285;22,4;55,2;1,4735;;
03/11/2004;21.00.00;2,4;1140;-200;12,7;1072;267;626;90;1597;1143;21,7;57,7;1,4766;;
03/11/2004;22.00.00;2,8;1240;-200;15,6;1168;308;582;86;1714;1235;20,5;63,0;1,5043;;
03/11/2004;23.00.00;2,7;1187;-200;14,2;1122;313;589;77;1641;1208;19,5;67,6;1,5156;;
04/11/2004;00.00.00;1,8;1043;-200;9,9;975;216;675;66;1489;1041;18,7;69,0;1,4727;;
04/11/2004;01.00.00;1,1;948;-200;6,3;826;137;802;57;1382;897;19,3;65,5;1,4500;;
04/11/2004;02.00.00;1,2;955;-200;5,2;775;140;831;55;1362;862;17,6;70,8;1,4105;;
04/11/2004;03.00.00;0,8;915;-200;4,2;721;-200;891;-200;1315;816;16,8;72,9;1,3851;;
04/11/2004;04.00.00;0,6;832;-200;2,9;644;94;990;40;1239;747;17,8;68,1;1,3722;;
04/11/2004;05.00.00;0,5;846;-200;2,6;628;79;1025;40;1218;727;16,1;73,5;1,3329;;
04/11/2004;06.00.00;0,7;897;-200;4,7;750;156;874;46;1270;799;15,8;73,5;1,3151;;
04/11/2004;07.00.00;0,8;908;-200;5,1;767;153;868;53;1272;807;17,0;68,0;1,3102;;
04/11/2004;08.00.00;3,5;1348;-200;22,2;1357;464;526;84;1833;1324;16,0;72,2;1,3077;;
04/11/2004;09.00.00;3,6;1384;-200;23,3;1386;435;504;88;1833;1404;17,8;65,4;1,3213;;
04/11/2004;10.00.00;-200;1473;-200;26,3;1463;683;462;143;1948;1605;20,6;56,0;1,3467;;
04/11/2004;11.00.00;-200;1360;-200;19,7;1287;523;517;130;1755;1478;23,6;48,0;1,3757;;
04/11/2004;12.00.00;-200;1305;-200;17,4;1223;460;545;120;1720;1414;23,7;49,8;1,4433;;
04/11/2004;13.00.00;-200;1337;-200;20,2;1302;417;507;139;1786;1465;24,7;47,4;1,4527;;
04/11/2004;14.00.00;-200;1414;-200;24,4;1414;486;478;139;1896;1588;25,9;42,8;1,4122;;
04/11/2004;15.00.00;-200;1463;-200;24,5;1417;512;467;156;1900;1651;26,8;43,3;1,4977;;
04/11/2004;16.00.00;-200;1530;-200;24,8;1425;595;457;143;1975;1652;26,6;45,5;1,5555;;
04/11/2004;17.00.00;-200;1915;-200;45,9;1889;1052;340;186;2603;2110;24,8;53,9;1,6683;;
04/11/2004;18.00.00;8,7;1882;-200;47,5;1920;1014;328;171;2609;2204;23,1;61,1;1,7082;;
04/11/2004;19.00.00;5,8;1589;-200;33,0;1619;633;406;124;2216;1780;22,2;63,7;1,6865;;
04/11/2004;20.00.00;4,3;1463;-200;27,2;1484;485;443;97;2011;1590;21,1;66,1;1,6313;;
04/11/2004;21.00.00;3,6;1380;-200;21,8;1345;480;493;92;1856;1419;20,0;69,0;1,5956;;
04/11/2004;22.00.00;3,9;1383;-200;21,3;1332;572;495;96;1855;1415;19,1;72,0;1,5732;;
04/11/2004;23.00.00;2,4;1181;-200;13,3;1094;345;600;74;1599;1180;18,8;70,6;1,5209;;
05/11/2004;00.00.00;1,6;1061;-200;8,8;931;195;699;65;1481;1015;18,5;69,5;1,4657;;
05/11/2004;01.00.00;1,8;1091;-200;9,2;945;213;698;62;1467;1014;18,4;68,5;1,4390;;
05/11/2004;02.00.00;1,5;1010;-200;7,6;884;216;719;59;1430;938;16,8;73,3;1,3915;;
05/11/2004;03.00.00;0,7;868;-200;3,6;688;-200;922;-200;1249;777;17,9;66,8;1,3596;;
05/11/2004;04.00.00;0,5;852;-200;2,8;639;73;1009;41;1204;723;16,5;71,0;1,3239;;
05/11/2004;05.00.00;0,4;826;-200;2,2;601;67;1056;38;1180;702;16,9;67,9;1,2950;;
05/11/2004;06.00.00;0,5;862;-200;3,4;677;96;973;43;1192;725;16,1;69,3;1,2591;;
05/11/2004;07.00.00;0,8;951;-200;5,7;800;162;803;52;1257;836;16,1;69,6;1,2593;;
05/11/2004;08.00.00;2;1210;-200;16,3;1188;305;583;75;1575;1129;16,2;70,1;1,2837;;
05/11/2004;09.00.00;6,2;1601;-200;37,9;1727;725;389;118;2252;1718;16,5;69,3;1,2897;;
05/11/2004;10.00.00;4,5;1477;-200;25,5;1443;658;469;126;1878;1646;19,6;58,3;1,3141;;
05/11/2004;11.00.00;4,6;1458;-200;24,2;1408;710;471;151;1889;1664;20,7;55,5;1,3414;;
05/11/2004;12.00.00;3,3;1354;-200;20,9;1321;445;504;107;1799;1496;20,8;56,3;1,3664;;
05/11/2004;13.00.00;3,6;1385;-200;22,1;1354;455;490;114;1823;1506;21,7;53,1;1,3649;;
05/11/2004;14.00.00;4,4;1460;-200;25,0;1430;524;466;125;1932;1604;23,0;49,0;1,3620;;
05/11/2004;15.00.00;4,3;1492;-200;26,4;1463;527;460;138;1935;1632;24,2;44,0;1,3078;;
05/11/2004;16.00.00;5;1569;-200;29,8;1547;601;435;144;2016;1736;24,7;43,6;1,3396;;
05/11/2004;17.00.00;8,1;1870;-200;45,0;1871;1001;351;180;2483;2165;23,0;54,2;1,5066;;
05/11/2004;18.00.00;8;1774;-200;42,8;1829;852;359;154;2457;2152;21,4;60,9;1,5322;;
05/11/2004;19.00.00;3,6;1388;-200;22,4;1363;370;485;105;1815;1556;20,3;61,4;1,4417;;
05/11/2004;20.00.00;2,9;1303;-200;15,9;1177;348;562;98;1619;1389;20,0;63,2;1,4581;;
05/11/2004;21.00.00;2,7;1257;-200;14,3;1126;361;581;93;1599;1300;19,1;64,4;1,4050;;
05/11/2004;22.00.00;1,9;1132;-200;10,7;1002;255;640;76;1474;1126;18,1;67,5;1,3855;;
05/11/2004;23.00.00;1,3;1050;-200;7,6;881;162;732;69;1363;982;17,8;66,9;1,3464;;
06/11/2004;00.00.00;1,2;1033;-200;6,7;842;166;756;66;1362;941;17,6;66,5;1,3249;;
06/11/2004;01.00.00;1,8;1106;-200;9,0;938;247;685;76;1395;1010;16,1;71,2;1,2948;;
06/11/2004;02.00.00;1,9;1107;-200;9,0;940;255;689;73;1403;985;15,5;73,3;1,2845;;
06/11/2004;03.00.00;1,5;1011;-200;7,0;856;-200;769;-200;1341;889;15,4;72,8;1,2633;;
06/11/2004;04.00.00;0,9;916;-200;4,3;726;129;879;54;1248;791;15,6;70,8;1,2461;;
06/11/2004;05.00.00;0,5;852;-200;2,8;641;83;1012;44;1172;710;17,0;64,5;1,2374;;
06/11/2004;06.00.00;0,6;889;-200;3,7;694;114;913;45;1198;743;14,9;72,3;1,2186;;
06/11/2004;07.00.00;1,1;1002;-200;6,3;828;233;798;58;1307;857;14,0;76,6;1,2183;;
06/11/2004;08.00.00;2,8;1231;-200;14,5;1134;448;587;87;1572;1143;14,6;74,2;1,2256;;
06/11/2004;09.00.00;2,9;1212;-200;16,4;1191;455;551;97;1586;1210;15,9;69,8;1,2530;;
06/11/2004;10.00.00;1,7;1121;-200;10,9;1012;254;650;80;1436;1060;18,4;61,3;1,2854;;
06/11/2004;11.00.00;2,3;1260;-200;14,1;1121;313;568;82;1569;1252;20,0;56,7;1,3078;;
06/11/2004;12.00.00;3,3;1391;-200;17,1;1214;490;518;112;1691;1435;20,4;57,0;1,3507;;
06/11/2004;13.00.00;3,5;1463;-200;19,4;1280;496;482;121;1794;1544;20,7;59,3;1,4283;;
06/11/2004;14.00.00;3,8;1464;-200;20,9;1321;514;475;132;1794;1600;21,7;54,8;1,4024;;
06/11/2004;15.00.00;3,4;1412;-200;17,7;1230;454;516;141;1672;1534;22,0;54,2;1,4096;;
